Category,Description,Inputs,Outputs,Status
Junk Market,Tancred's Weird -> Perfect Emerald,"Antidote Potion,Tancred's Weird",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Tancred's Skull,"Stamina Potion,Pul Rune,Bone Helm,Town Portal Scroll",Tancred's Skull,EXISTING
Junk Market,Tancred's Skull -> Perfect Emerald,"Antidote Potion,Tancred's Skull",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sigon's Gage,"Stamina Potion,Pul Rune,Gauntlets,Town Portal Scroll",Sigon's Gage,EXISTING
Junk Market,Sigon's Gage -> Perfect Emerald,"Antidote Potion,Sigon's Gage",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sigon's Visor,"Stamina Potion,Pul Rune,Great Helm,Town Portal Scroll",Sigon's Visor,EXISTING
Junk Market,Sigon's Visor -> Perfect Emerald,"Antidote Potion,Sigon's Visor",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sigon's Shelter,"Stamina Potion,Pul Rune,Gothic Plate,Town Portal Scroll",Sigon's Shelter,EXISTING
Junk Market,Sigon's Shelter -> Perfect Emerald,"Antidote Potion,Sigon's Shelter",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sigon's Sabot,"Stamina Potion,Pul Rune,Greaves,Town Portal Scroll",Sigon's Sabot,EXISTING
Junk Market,Sigon's Sabot -> Perfect Emerald,"Antidote Potion,Sigon's Sabot",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sigon's Wrap,"Stamina Potion,Pul Rune,Plated Belt,Town Portal Scroll",Sigon's Wrap,EXISTING
Junk Market,Sigon's Wrap -> Perfect Emerald,"Antidote Potion,Sigon's Wrap",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sigon's Guard,"Stamina Potion,Pul Rune,Tower Shield,Town Portal Scroll",Sigon's Guard,EXISTING
Junk Market,Sigon's Guard -> Perfect Emerald,"Antidote Potion,Sigon's Guard",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Infernal Cranium,"Stamina Potion,Pul Rune,Cap,Town Portal Scroll",Infernal Cranium,EXISTING
Junk Market,Infernal Cranium -> Perfect Emerald,"Antidote Potion,Infernal Cranium",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Infernal Torch,"Stamina Potion,Pul Rune,Grim Wand,Town Portal Scroll",Infernal Torch,EXISTING
Junk Market,Infernal Torch -> Perfect Emerald,"Antidote Potion,Infernal Torch",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Infernal Sign,"Stamina Potion,Lem Rune,Heavy Belt,Town Portal Scroll",Infernal Sign,EXISTING
Junk Market,Infernal Sign -> Perfect Emerald,"Antidote Potion,Infernal Sign",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Berserker's Headgear,"Stamina Potion,Pul Rune,Helm,Town Portal Scroll",Berserker's Headgear,EXISTING
Junk Market,Berserker's Headgear -> Perfect Emerald,"Antidote Potion,Berserker's Headgear",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Berserker's Hauberk,"Stamina Potion,Pul Rune,Splint Mail,Town Portal Scroll",Berserker's Hauberk,EXISTING
Junk Market,Berserker's Hauberk -> Perfect Emerald,"Antidote Potion,Berserker's Hauberk",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Berserker's Hatchet,"Stamina Potion,Pul Rune,Double Axe,Town Portal Scroll",Berserker's Hatchet,EXISTING
Junk Market,Berserker's Hatchet -> Perfect Emerald,"Antidote Potion,Berserker's Hatchet",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Death's Hand,"Stamina Potion,Pul Rune,Leather Gloves,Town Portal Scroll",Death's Hand,EXISTING
Junk Market,Death's Hand -> Perfect Emerald,"Antidote Potion,Death's Hand",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Death's Guard,"Stamina Potion,Pul Rune,Sash,Town Portal Scroll",Death's Guard,EXISTING
Junk Market,Death's Guard -> Perfect Emerald,"Antidote Potion,Death's Guard",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Death's Touch,"Stamina Potion,Pul Rune,War Sword,Town Portal Scroll",Death's Touch,EXISTING
Junk Market,Death's Touch -> Perfect Emerald,"Antidote Potion,Death's Touch",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Angelic Sickle,"Stamina Potion,Pul Rune,Saber,Town Portal Scroll",Angelic Sickle,EXISTING
Junk Market,Angelic Sickle -> Perfect Emerald,"Antidote Potion,Angelic Sickle",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Angelic Mantle,"Stamina Potion,Pul Rune,Ring Mail,Town Portal Scroll",Angelic Mantle,EXISTING
Junk Market,Angelic Mantle -> Perfect Emerald,"Antidote Potion,Angelic Mantle",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Angelic Halo,"Stamina Potion,Lem Rune,ring,Town Portal Scroll",Angelic Halo,EXISTING
Junk Market,Angelic Halo -> Perfect Emerald,"Antidote Potion,Angelic Halo",Perfect Emerald,EXISTING
Junk Market,Fal Rune -> Angelic Wings,"Stamina Potion,Fal Rune,amulet,Perfect Diamond",Angelic Wings,EXISTING
Junk Market,Angelic Wings -> Perfect Emerald,"Antidote Potion,Angelic Wings",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Arctic Horn,"Stamina Potion,Pul Rune,Short War Bow,Town Portal Scroll",Arctic Horn,EXISTING
Junk Market,Arctic Horn -> Perfect Emerald,"Antidote Potion,Arctic Horn",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Arctic Furs,"Stamina Potion,Pul Rune,Quilted Armor,Town Portal Scroll",Arctic Furs,EXISTING
Junk Market,Arctic Furs -> Perfect Emerald,"Antidote Potion,Arctic Furs",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Arctic Binding,"Stamina Potion,Pul Rune,Light Belt,Town Portal Scroll",Arctic Binding,EXISTING
Junk Market,Arctic Binding -> Perfect Emerald,"Antidote Potion,Arctic Binding",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Arctic Mitts,"Stamina Potion,Lem Rune,Light Gauntlets,Town Portal Scroll",Arctic Mitts,EXISTING
Junk Market,Arctic Mitts -> Perfect Emerald,"Antidote Potion,Arctic Mitts",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Arcanna's Sign,"Stamina Potion,Lem Rune,amulet,Town Portal Scroll",Arcanna's Sign,EXISTING
Junk Market,Arcanna's Sign -> Perfect Emerald,"Antidote Potion,Arcanna's Sign",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Arcanna's Deathwand,"Stamina Potion,Pul Rune,War Staff,Town Portal Scroll",Arcanna's Deathwand,EXISTING
Junk Market,Arcanna's Deathwand -> Perfect Emerald,"Antidote Potion,Arcanna's Deathwand",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Arcanna's Head,"Stamina Potion,Pul Rune,Skull Cap,Town Portal Scroll",Arcanna's Head,EXISTING
Junk Market,Arcanna's Head -> Perfect Emerald,"Antidote Potion,Arcanna's Head",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Arcanna's Flesh,"Stamina Potion,Pul Rune,Light Plate,Town Portal Scroll",Arcanna's Flesh,EXISTING
Junk Market,Arcanna's Flesh -> Perfect Emerald,"Antidote Potion,Arcanna's Flesh",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Natalya's Shadow,"Stamina Potion,Pul Rune,Loricated Mail,Town Portal Scroll",Natalya's Shadow,EXISTING
Junk Market,Natalya's Shadow -> Perfect Emerald,"Antidote Potion,Natalya's Shadow",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Aldur's Stony Gaze,"Stamina Potion,Pul Rune,Hunter’s Guise,Town Portal Scroll",Aldur's Stony Gaze,EXISTING
Junk Market,Aldur's Stony Gaze -> Perfect Emerald,"Antidote Potion,Aldur's Stony Gaze",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Aldur's Deception,"Stamina Potion,Pul Rune,Shadow Plate,Town Portal Scroll",Aldur's Deception,EXISTING
Junk Market,Aldur's Deception -> Perfect Emerald,"Antidote Potion,Aldur's Deception",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Aldur's Gauntlet,"Stamina Potion,Pul Rune,Jagged Star,Town Portal Scroll",Aldur's Gauntlet,EXISTING
Junk Market,Aldur's Gauntlet -> Perfect Emerald,"Antidote Potion,Aldur's Gauntlet",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Immortal King's Detail,"Stamina Potion,Pul Rune,War Belt,Town Portal Scroll",Immortal King's Detail,EXISTING
Junk Market,Immortal King's Detail -> Perfect Emerald,"Antidote Potion,Immortal King's Detail",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Immortal King's Forge,"Stamina Potion,Pul Rune,War Gauntlets,Town Portal Scroll",Immortal King's Forge,EXISTING
Junk Market,Immortal King's Forge -> Perfect Emerald,"Antidote Potion,Immortal King's Forge",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Immortal King's Pillar,"Stamina Potion,Pul Rune,War Boots,Town Portal Scroll",Immortal King's Pillar,EXISTING
Junk Market,Immortal King's Pillar -> Perfect Emerald,"Antidote Potion,Immortal King's Pillar",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Immortal King's Stone Crusher,"Stamina Potion,Pul Rune,Ogre Maul,Town Portal Scroll",Immortal King's Stone Crusher,EXISTING
Junk Market,Immortal King's Stone Crusher -> Perfect Emerald,"Antidote Potion,Immortal King's Stone Crusher",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Griswold's Heart,"Stamina Potion,Pul Rune,Ornate Armor,Town Portal Scroll",Griswold's Heart,EXISTING
Junk Market,Griswold's Heart -> Perfect Emerald,"Antidote Potion,Griswold's Heart",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Trang-Oul's Scales,"Stamina Potion,Pul Rune,Chaos Armor,Town Portal Scroll",Trang-Oul's Scales,EXISTING
Junk Market,Trang-Oul's Scales -> Perfect Emerald,"Antidote Potion,Trang-Oul's Scales",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> M'avina's Embrace,"Stamina Potion,Pul Rune,Kraken Shell,Town Portal Scroll",M'avina's Embrace,EXISTING
Junk Market,M'avina's Embrace -> Perfect Emerald,"Antidote Potion,M'avina's Embrace",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> M'avina's Icy Clutch,"Stamina Potion,Pul Rune,Battle Gauntlet,Town Portal Scroll",M'avina's Icy Clutch,EXISTING
Junk Market,M'avina's Icy Clutch -> Perfect Emerald,"Antidote Potion,M'avina's Icy Clutch",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> M'avina's Tenet,"Stamina Potion,Pul Rune,Sharkskin Belt,Town Portal Scroll",M'avina's Tenet,EXISTING
Junk Market,M'avina's Tenet -> Perfect Emerald,"Antidote Potion,M'avina's Tenet",Perfect Emerald,EXISTING
Junk Market,Fal Rune -> Telling of Beads,"Stamina Potion,Fal Rune,amulet,Town Portal Scroll",Telling of Beads,EXISTING
Junk Market,Telling of Beads -> Perfect Emerald,"Antidote Potion,Telling of Beads",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Laying of Hands,"Stamina Potion,Pul Rune,Bramble Mitts,Town Portal Scroll",Laying of Hands,EXISTING
Junk Market,Laying of Hands -> Perfect Emerald,"Antidote Potion,Laying of Hands",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Rite of Passage,"Stamina Potion,Pul Rune,Demonhide Boots,Town Portal Scroll",Rite of Passage,EXISTING
Junk Market,Rite of Passage -> Perfect Emerald,"Antidote Potion,Rite of Passage",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Spiritual Custodian,"Stamina Potion,Pul Rune,Dusk Shroud,Town Portal Scroll",Spiritual Custodian,EXISTING
Junk Market,Spiritual Custodian -> Perfect Emerald,"Antidote Potion,Spiritual Custodian",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Credendum,"Stamina Potion,Pul Rune,Mithril Coil,Town Portal Scroll",Credendum,EXISTING
Junk Market,Credendum -> Perfect Emerald,"Antidote Potion,Credendum",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Dangoon's Teaching,"Stamina Potion,Pul Rune,Reinforced Mace,Town Portal Scroll",Dangoon's Teaching,EXISTING
Junk Market,Dangoon's Teaching -> Perfect Emerald,"Antidote Potion,Dangoon's Teaching",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Heaven's Taebaek,"Stamina Potion,Pul Rune,Ward,Town Portal Scroll",Heaven's Taebaek,EXISTING
Junk Market,Heaven's Taebaek -> Perfect Emerald,"Antidote Potion,Heaven's Taebaek",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Haemosu's Adament,"Stamina Potion,Pul Rune,Cuirass,Town Portal Scroll",Haemosu's Adament,EXISTING
Junk Market,Haemosu's Adament -> Perfect Emerald,"Antidote Potion,Haemosu's Adament",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Ondal's Almighty,"Stamina Potion,Pul Rune,Spired Helm,Town Portal Scroll",Ondal's Almighty,EXISTING
Junk Market,Ondal's Almighty -> Perfect Emerald,"Antidote Potion,Ondal's Almighty",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Wilhelm's Pride,"Stamina Potion,Pul Rune,Battle Belt,Town Portal Scroll",Wilhelm's Pride,EXISTING
Junk Market,Wilhelm's Pride -> Perfect Emerald,"Antidote Potion,Wilhelm's Pride",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Magnus' Skin,"Stamina Potion,Pul Rune,Sharkskin Glove,Town Portal Scroll",Magnus' Skin,EXISTING
Junk Market,Magnus' Skin -> Perfect Emerald,"Antidote Potion,Magnus' Skin",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Wihtstan's Guard,"Stamina Potion,Pul Rune,Round Shield,Town Portal Scroll",Wihtstan's Guard,EXISTING
Junk Market,Wihtstan's Guard -> Perfect Emerald,"Antidote Potion,Wihtstan's Guard",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Hwanin's Splendor,"Stamina Potion,Lem Rune,Grand Crown,Town Portal Scroll",Hwanin's Splendor,EXISTING
Junk Market,Hwanin's Splendor -> Perfect Emerald,"Antidote Potion,Hwanin's Splendor",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Hwanin's Refuge,"Stamina Potion,Pul Rune,Tigulated Mail,Town Portal Scroll",Hwanin's Refuge,EXISTING
Junk Market,Hwanin's Refuge -> Perfect Emerald,"Antidote Potion,Hwanin's Refuge",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Hwanin's Seal,"Stamina Potion,Lem Rune,Belt,Town Portal Scroll",Hwanin's Seal,EXISTING
Junk Market,Hwanin's Seal -> Perfect Emerald,"Antidote Potion,Hwanin's Seal",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Hwanin's Justice,"Stamina Potion,Pul Rune,Bill,Town Portal Scroll",Hwanin's Justice,EXISTING
Junk Market,Hwanin's Justice -> Perfect Emerald,"Antidote Potion,Hwanin's Justice",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sazabi's Cobalt Redeemer,"Stamina Potion,Pul Rune,Cryptic Sword,Town Portal Scroll",Sazabi's Cobalt Redeemer,EXISTING
Junk Market,Sazabi's Cobalt Redeemer -> Perfect Emerald,"Antidote Potion,Sazabi's Cobalt Redeemer",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sazabi's Ghost Liberator,"Stamina Potion,Pul Rune,Balrog Skin,Town Portal Scroll",Sazabi's Ghost Liberator,EXISTING
Junk Market,Sazabi's Ghost Liberator -> Perfect Emerald,"Antidote Potion,Sazabi's Ghost Liberator",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sazabi's Mental Sheath,"Stamina Potion,Pul Rune,Basinet,Town Portal Scroll",Sazabi's Mental Sheath,EXISTING
Junk Market,Sazabi's Mental Sheath -> Perfect Emerald,"Antidote Potion,Sazabi's Mental Sheath",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cow King's Horns,"Stamina Potion,Pul Rune,War Hat,Town Portal Scroll",Cow King's Horns,EXISTING
Junk Market,Cow King's Horns -> Perfect Emerald,"Antidote Potion,Cow King's Horns",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cow King's Hide,"Stamina Potion,Pul Rune,Studded Leather,Town Portal Scroll",Cow King's Hide,EXISTING
Junk Market,Cow King's Hide -> Perfect Emerald,"Antidote Potion,Cow King's Hide",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Naj's Light Plate,"Stamina Potion,Pul Rune,Hellforge Plate,Town Portal Scroll",Naj's Light Plate,EXISTING
Junk Market,Naj's Light Plate -> Perfect Emerald,"Antidote Potion,Naj's Light Plate",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Naj's Circlet,"Stamina Potion,Pul Rune,Circlet,Town Portal Scroll",Naj's Circlet,EXISTING
Junk Market,Naj's Circlet -> Perfect Emerald,"Antidote Potion,Naj's Circlet",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Sander's Paragon,"Stamina Potion,Lem Rune,Cap,Town Portal Scroll",Sander's Paragon,EXISTING
Junk Market,Sander's Paragon -> Perfect Emerald,"Antidote Potion,Sander's Paragon",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sander's Riprap,"Stamina Potion,Pul Rune,Heavy Boots,Town Portal Scroll",Sander's Riprap,EXISTING
Junk Market,Sander's Riprap -> Perfect Emerald,"Antidote Potion,Sander's Riprap",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sander's Taboo,"Stamina Potion,Pul Rune,Heavy Gloves,Town Portal Scroll",Sander's Taboo,EXISTING
Junk Market,Sander's Taboo -> Perfect Emerald,"Antidote Potion,Sander's Taboo",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Sander's Superstition,"Stamina Potion,Pul Rune,Bone Wand,Town Portal Scroll",Sander's Superstition,EXISTING
Junk Market,Sander's Superstition -> Perfect Emerald,"Antidote Potion,Sander's Superstition",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Warlord's Lust,"Stamina Potion,Lem Rune,Great Helm,Town Portal Scroll",Warlord's Lust,EXISTING
Junk Market,Warlord's Lust -> Perfect Emerald,"Antidote Potion,Warlord's Lust",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Warlord's Mantle,"Stamina Potion,Lem Rune,Full Plate Mail,Town Portal Scroll",Warlord's Mantle,EXISTING
Junk Market,Warlord's Mantle -> Perfect Emerald,"Antidote Potion,Warlord's Mantle",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Warlord's Crushers,"Stamina Potion,Lem Rune,Greaves,Town Portal Scroll",Warlord's Crushers,EXISTING
Junk Market,Warlord's Crushers -> Perfect Emerald,"Antidote Potion,Warlord's Crushers",Perfect Emerald,EXISTING
Junk Market,Lem Rune -> Warlord's Authority,"Stamina Potion,Lem Rune,Plated Belt,Town Portal Scroll",Warlord's Authority,EXISTING
Junk Market,Warlord's Authority -> Perfect Emerald,"Antidote Potion,Warlord's Authority",Perfect Emerald,EXISTING
Junk Market,Um Rune -> Bane's Oathmaker,"Stamina Potion,Um Rune,Kriss,Town Portal Scroll",Bane's Oathmaker,EXISTING
Junk Market,Bane's Oathmaker -> Perfect Emerald,"Antidote Potion,Bane's Oathmaker",Perfect Emerald,EXISTING
Junk Market,Um Rune -> Bane's Wraithskin,"Stamina Potion,Um Rune,Hard Leather,Town Portal Scroll",Bane's Wraithskin,EXISTING
Junk Market,Bane's Wraithskin -> Perfect Emerald,"Antidote Potion,Bane's Wraithskin",Perfect Emerald,EXISTING
Junk Market,Um Rune -> Bane's Authority,"Stamina Potion,Um Rune,Light Belt,Town Portal Scroll",Bane's Authority,EXISTING
Junk Market,Bane's Authority -> Perfect Emerald,"Antidote Potion,Bane's Authority",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> The Gnasher,"Stamina Potion,Pul Rune,Hand Axe,Identify Scroll",The Gnasher,EXISTING
Junk Market,The Gnasher -> Perfect Topaz,"Antidote Potion,The Gnasher",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Deathspade,"Stamina Potion,Pul Rune,Axe,Identify Scroll",Deathspade,EXISTING
Junk Market,Deathspade -> Perfect Topaz,"Antidote Potion,Deathspade",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bladebone,"Stamina Potion,Pul Rune,Double Axe,Identify Scroll",Bladebone,EXISTING
Junk Market,Bladebone -> Perfect Topaz,"Antidote Potion,Bladebone",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Mindrend,"Stamina Potion,Pul Rune,Military Pick,Identify Scroll",Mindrend,EXISTING
Junk Market,Mindrend -> Perfect Topaz,"Antidote Potion,Mindrend",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Rakescar,"Stamina Potion,Pul Rune,War Axe,Identify Scroll",Rakescar,EXISTING
Junk Market,Rakescar -> Perfect Topaz,"Antidote Potion,Rakescar",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Fechmars Axe,"Stamina Potion,Pul Rune,Large Axe,Identify Scroll",Fechmars Axe,EXISTING
Junk Market,Fechmars Axe -> Perfect Topaz,"Antidote Potion,Fechmars Axe",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Goreshovel,"Stamina Potion,Pul Rune,Broad Axe,Identify Scroll",Goreshovel,EXISTING
Junk Market,Goreshovel -> Perfect Topaz,"Antidote Potion,Goreshovel",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Chieftan,"Stamina Potion,Pul Rune,Battle Axe,Identify Scroll",The Chieftan,EXISTING
Junk Market,The Chieftan -> Perfect Topaz,"Antidote Potion,The Chieftan",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Brainhew,"Stamina Potion,Pul Rune,Great Axe,Identify Scroll",Brainhew,EXISTING
Junk Market,Brainhew -> Perfect Topaz,"Antidote Potion,Brainhew",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Humongous,"Stamina Potion,Pul Rune,Giant Axe,Identify Scroll",The Humongous,EXISTING
Junk Market,The Humongous -> Perfect Topaz,"Antidote Potion,The Humongous",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Maelstromwrath,"Stamina Potion,Pul Rune,Yew Wand,Identify Scroll",Maelstromwrath,EXISTING
Junk Market,Maelstromwrath -> Perfect Topaz,"Antidote Potion,Maelstromwrath",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Gravenspine,"Stamina Potion,Pul Rune,Bone Wand,Identify Scroll",Gravenspine,EXISTING
Junk Market,Gravenspine -> Perfect Topaz,"Antidote Potion,Gravenspine",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Umes Lament,"Stamina Potion,Pul Rune,Grim Wand,Identify Scroll",Umes Lament,EXISTING
Junk Market,Umes Lament -> Perfect Topaz,"Antidote Potion,Umes Lament",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Felloak,"Stamina Potion,Pul Rune,Club,Identify Scroll",Felloak,EXISTING
Junk Market,Felloak -> Perfect Topaz,"Antidote Potion,Felloak",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Knell Striker,"Stamina Potion,Pul Rune,Sceptre,Identify Scroll",Knell Striker,EXISTING
Junk Market,Knell Striker -> Perfect Topaz,"Antidote Potion,Knell Striker",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Rusthandle,"Stamina Potion,Pul Rune,Grand Sceptre,Identify Scroll",Rusthandle,EXISTING
Junk Market,Rusthandle -> Perfect Topaz,"Antidote Potion,Rusthandle",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Stormeye,"Stamina Potion,Pul Rune,War Sceptre,Identify Scroll",Stormeye,EXISTING
Junk Market,Stormeye -> Perfect Topaz,"Antidote Potion,Stormeye",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Stoutnail,"Stamina Potion,Pul Rune,Spiked Club,Identify Scroll",Stoutnail,EXISTING
Junk Market,Stoutnail -> Perfect Topaz,"Antidote Potion,Stoutnail",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Crushflange,"Stamina Potion,Pul Rune,Mace,Identify Scroll",Crushflange,EXISTING
Junk Market,Crushflange -> Perfect Topaz,"Antidote Potion,Crushflange",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bloodrise,"Stamina Potion,Pul Rune,Morning Star,Identify Scroll",Bloodrise,EXISTING
Junk Market,Bloodrise -> Perfect Topaz,"Antidote Potion,Bloodrise",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Generals Tan Do Li Ga,"Stamina Potion,Pul Rune,Flail,Identify Scroll",The Generals Tan Do Li Ga,EXISTING
Junk Market,The Generals Tan Do Li Ga -> Perfect Topaz,"Antidote Potion,The Generals Tan Do Li Ga",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Ironstone,"Stamina Potion,Pul Rune,War Hammer,Identify Scroll",Ironstone,EXISTING
Junk Market,Ironstone -> Perfect Topaz,"Antidote Potion,Ironstone",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bonesob,"Stamina Potion,Pul Rune,Maul,Identify Scroll",Bonesob,EXISTING
Junk Market,Bonesob -> Perfect Topaz,"Antidote Potion,Bonesob",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Steeldriver,"Stamina Potion,Pul Rune,Great Maul,Identify Scroll",Steeldriver,EXISTING
Junk Market,Steeldriver -> Perfect Topaz,"Antidote Potion,Steeldriver",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Rixots Keen,"Stamina Potion,Pul Rune,Short Swrod,Identify Scroll",Rixots Keen,EXISTING
Junk Market,Rixots Keen -> Perfect Topaz,"Antidote Potion,Rixots Keen",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Blood Crescent,"Stamina Potion,Pul Rune,Scimitar,Identify Scroll",Blood Crescent,EXISTING
Junk Market,Blood Crescent -> Perfect Topaz,"Antidote Potion,Blood Crescent",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Krintizs Skewer,"Stamina Potion,Pul Rune,Saber,Identify Scroll",Krintizs Skewer,EXISTING
Junk Market,Krintizs Skewer -> Perfect Topaz,"Antidote Potion,Krintizs Skewer",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Gleamscythe,"Stamina Potion,Pul Rune,Falchion,Identify Scroll",Gleamscythe,EXISTING
Junk Market,Gleamscythe -> Perfect Topaz,"Antidote Potion,Gleamscythe",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Azurewrath,"Stamina Potion,Pul Rune,Crystal Sword,Identify Scroll",Azurewrath,EXISTING
Junk Market,Azurewrath -> Perfect Topaz,"Antidote Potion,Azurewrath",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Griswolds Edge,"Stamina Potion,Pul Rune,Broad Sword,Identify Scroll",Griswolds Edge,EXISTING
Junk Market,Griswolds Edge -> Perfect Topaz,"Antidote Potion,Griswolds Edge",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Hellplague,"Stamina Potion,Pul Rune,Long Sword,Identify Scroll",Hellplague,EXISTING
Junk Market,Hellplague -> Perfect Topaz,"Antidote Potion,Hellplague",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Culwens Point,"Stamina Potion,Pul Rune,War Sword,Identify Scroll",Culwens Point,EXISTING
Junk Market,Culwens Point -> Perfect Topaz,"Antidote Potion,Culwens Point",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Shadowfang,"Stamina Potion,Pul Rune,Two-handed Swrd,Identify Scroll",Shadowfang,EXISTING
Junk Market,Shadowfang -> Perfect Topaz,"Antidote Potion,Shadowfang",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Soulflay,"Stamina Potion,Pul Rune,Claymore,Identify Scroll",Soulflay,EXISTING
